ticker,year,actual_esg,predicted_esg,discrepancy,risk_score,risk_level
CBRE,2021,8.33,12.708876,4.37887565612793,0.7060615562437521,Normal
QRVO,2021,32.1,26.343483,-5.756517028808595,0.367833880660829,Normal
NXPI,2019,24.15,22.462036,-1.6879638671874986,0.5036053620051925,Normal
PSX,2021,31.99,32.1415,0.1514985656738297,0.564989969620195,Normal
CTAS,2022,20.54,23.37256,2.8325605010986337,0.6544595515792944,Normal
QCOM,2019,18.91,20.287516,1.377515640258789,0.6059033232762544,Normal
AWK,2018,27.93,30.074656,2.1446555328369143,0.6315035097494692,Normal
HSY,2020,25.8,24.75794,-1.0420597076416023,0.5251597969761467,Normal
PNR,2020,32.06,23.976181,-8.083818969726565,0.2901696055483113,Normal
SYK,2021,33.72,25.23469,-8.485310287475585,0.27677145913304724,High Risk
PANW,2021,14.43,19.577993,5.147993392944336,0.7317277452567968,Normal
UNH,2019,20.94,21.845497,0.905497131347655,0.5901516175393464,Normal
SYF,2021,19.33,21.768816,2.438815994262697,0.6413199235983684,Normal
SRE,2019,29.4,28.114037,-1.2859634399414048,0.5170204978876795,Normal
STT,2022,21.65,23.43233,1.7823291778564467,0.6194123353217027,Normal
PPG,2017,29.75,26.304363,-3.445636749267578,0.44495014934385824,Normal
SJM,2022,30.95,27.91327,-3.0367290496826165,0.4585957874614748,Normal
PHM,2015,21.47,25.792252,4.322251586914064,0.7041719572999721,Normal
WEC,2020,32.62,35.0138,2.393801574707034,0.6398177496849043,Normal
